image,1B_left,1B_right,2A_left,2A_right,2B_left,2B_right,3A_left,3A_right,3B_left,3B_right,4A_left,4A_right,4B_left,4B_right,5A_left,5A_right,5B_left,5B_right,6A_left,6A_right,6B_left,6B_right,7A_left,7A_right,7B_left,7B_right
390-U1556B-39R-2-Pc1-2x.BMP,,,333,1839,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-1-Pc12-1x.BMP,6876,8631,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-1-Pc12-2x.BMP,,,888,2641,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-1-Pc15-1x.BMP,6154,8939,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-1-Pc15-2x.BMP,,,1402,4172,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-2-Pc15-1x.BMP,7933,8541,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-2-Pc15-2x.BMP,,,217,835,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-3-Pc6-1x.BMP,8071,8485,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-40R-3-Pc6-2x.BMP,,,40,468,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-41R-1-Pc2-1x.BMP,7367,7661,,,,,,,,,,,,,,,,,,,,,,,,
